id,gender,bdate,educ,jobcat,salary,salbegin,jobtime,prevexp,minority
209,f,1/14/1934,8,1,19800,10200,83,75,0
210,m,05-04-1949,15,1,30600,16500,83,216,1
211,m,11-08-1950,15,1,28950,15000,83,108,1
212,m,5/14/1965,15,1,38400,16500,83,64,1
213,m,10/20/1945,8,2,30750,15000,83,302,1
214,f,9/13/1968,12,1,20400,10950,83,9,1
215,f,9/15/1968,12,1,19200,11100,83,7,1
216,m,5/16/1964,15,1,30150,15750,82,72,0
217,m,3/15/1949,16,1,34620,27750,82,149,0
218,m,3/21/1964,15,1,80000,15750,82,34,0
219,m,02-02-1963,12,1,25350,15000,82,32,0
220,m,8/17/1963,12,1,29850,15750,82,85,0
221,f,5/22/1947,12,1,24000,13800,82,97,0
222,f,9/15/1935,15,1,27750,19500,82,265,0
223,f,3/14/1942,8,1,22350,10200,82,48,0
224,f,11/20/1934,12,1,16200,10200,82,0,0
225,f,10/13/1967,15,1,21900,12750,82,0,0
226,f,6/21/1964,16,1,23250,15750,82,4,0
227,f,7/17/1965,12,1,33900,12000,82,11,0
228,f,9/21/1963,15,1,25650,14250,82,51,0
229,f,8/21/1940,12,1,17250,10200,82,358,0
230,m,02-04-1934,15,1,22500,15000,82,371,1
231,m,01-09-1965,16,3,40200,21000,81,3,0
232,m,9/13/1963,19,3,55500,33750,81,62,0
233,m,7/21/1963,15,1,26550,15000,81,52,0
234,m,11-12-1960,15,1,50550,19500,81,44,0
235,m,09-11-1962,19,3,75000,31500,81,13,0
236,f,05-02-1969,8,1,27450,12000,81,9,0
237,f,06-04-1969,12,1,22650,11250,81,0,0
238,f,6/15/1969,12,1,27300,11250,81,5,0
239,f,9/14/1969,12,1,27750,11225,81,5,0
240,f,6/15/1961,16,3,54375,18750,81,81,0
241,f,8/27/1936,8,1,17400,10200,81,390,0
242,f,11-03-1967,12,1,40800,18000,81,4,0
243,f,02-10-1969,12,1,23100,10950,81,0,0
244,f,9/15/1969,8,1,22500,10950,81,5,0
245,f,3/16/1969,12,1,26700,11550,81,18,0
246,f,1/14/1968,12,1,24900,11250,81,0,0
247,f,5/13/1968,12,1,19650,10950,81,11,0
248,f,04-09-1969,12,1,22050,10950,81,9,0
249,f,05-09-1969,12,1,25500,12000,81,11,0
250,f,10-10-1966,15,1,28200,12750,81,19,0
251,f,1/19/1969,12,1,23100,11250,81,13,0
252,m,9/18/1969,12,1,25500,11400,81,9,1
253,f,2/21/1942,8,1,17100,10200,81,0,1
254,m,02-08-1964,18,3,68125,32490,80,29,0
255,m,8/15/1932,12,2,30600,15750,80,460,0
256,m,01-03-1948,19,3,52125,27480,80,221,0
257,m,9/24/1951,19,3,61875,36750,80,199,0
258,m,03-09-1969,8,1,21300,11550,80,24,0
259,f,3/15/1969,12,1,19650,11250,80,5,0
260,f,2/20/1969,12,1,22350,11250,80,5,0
261,f,3/27/1969,12,1,23400,11250,80,18,0
262,f,6/20/1968,12,1,24300,10950,80,8,0
263,f,10/13/1968,12,1,28500,11250,80,4,0
264,f,1/16/1969,12,1,19950,11250,80,8,0
265,f,9/24/1969,12,1,23400,11250,80,0,0
266,f,10-07-1963,16,1,34500,17250,80,3,0
267,f,8/24/1969,12,1,18150,10950,80,0,0
268,m,5/16/1936,12,1,22350,15000,80,272,1
269,m,3/17/1966,15,1,40200,17250,79,38,0
270,m,10/29/1947,15,1,28650,18000,79,261,0
271,m,8/24/1963,15,1,27750,16500,79,55,0
272,m,6/17/1964,18,1,66875,31980,79,30,0
273,m,11-12-1939,12,2,30000,15750,79,308,0
274,m,08-04-1964,16,3,83750,21750,79,12,0
275,m,1/14/1963,12,1,33900,16500,79,94,0
276,m,05-11-1965,16,3,56500,21000,79,12,0
277,f,5/20/1965,16,3,43000,17490,79,20,0
278,f,06-12-1943,8,1,20850,12000,79,70,0
279,f,4/16/1969,12,1,24450,12000,79,8,0
280,f,10/20/1969,12,1,24750,10950,79,5,0
281,m,2/18/1945,8,2,34500,15750,79,246,1
282,m,9/15/1963,14,1,27900,15000,79,47,1
283,m,2/25/1963,19,3,68125,32010,78,35,0
284,m,10-10-1961,19,3,73500,33000,78,45,0
285,m,5/28/1930,8,2,30750,15750,78,429,0
286,m,03-07-1958,15,3,40050,25500,78,133,0
287,m,1/18/1965,16,1,40350,19500,78,20,0
288,m,1/22/1955,15,3,38700,23730,78,176,0
289,m,10/27/1964,17,3,65000,30750,78,26,0
290,m,04-05-1954,18,3,51450,36240,78,149,0
291,m,9/23/1934,12,2,35250,15750,78,387,0
292,m,05-07-1963,14,1,25950,15000,78,53,0
293,m,9/19/1965,15,1,25050,14250,78,24,0
294,m,10-10-1968,12,1,26700,12750,78,25,0
295,m,8/20/1932,8,1,24000,15750,78,476,0
296,m,02-12-1964,12,1,26850,15000,78,48,0
297,f,4/16/1942,12,1,23400,15300,78,209,0
298,f,8/24/1966,12,1,24600,13500,78,47,0
299,f,05-11-1965,15,1,32550,18000,78,6,0
300,m,5/26/1960,16,1,26550,15000,78,105,1
301,m,08-04-1968,12,1,31500,13500,78,7,1
302,m,9/28/1939,8,1,22350,15000,78,320,1
303,m,02-10-1938,12,2,35250,15750,78,281,1
304,f,9/28/1945,15,1,25800,13500,78,51,1
305,m,10/25/1941,12,2,30750,15750,77,317,0
306,m,04-05-1966,15,1,30750,16500,77,41,0
307,m,7/24/1945,16,3,50000,32490,77,264,0
308,m,02-01-1963,15,1,34500,18000,77,63,0
309,m,7/19/1964,15,1,26250,15750,77,38,0
310,m,3/23/1964,16,1,44875,21240,77,22,0
311,f,2/15/1951,12,1,22500,12000,77,63,0
312,f,03-12-1963,12,1,25650,14250,77,64,0
313,f,10/25/1969,12,1,21300,11250,77,0,0
314,f,11/24/1966,12,1,29850,13500,77,38,0
315,f,9/19/1969,12,1,34500,12150,77,4,0
316,m,1/14/1960,15,1,27750,15000,77,52,1
317,m,2/27/1969,12,1,27750,11550,77,12,1
318,m,2/19/1961,16,3,48750,21990,76,61,0
319,m,03-02-1966,15,1,43410,15750,76,12,0
320,m,11-10-1936,12,1,22050,15000,76,385,0
321,f,10/26/1953,12,1,22050,12000,76,6,0
322,f,03-02-1938,12,1,22500,14250,76,90,0
323,f,5/13/1967,15,1,25500,12000,76,7,0
324,f,10/14/1966,12,1,29160,15000,76,22,0
325,f,11-04-1934,8,1,16800,10200,76,76,0
326,m,7/24/1958,8,2,29550,15750,76,144,1
327,m,03-02-1965,12,1,26700,15750,76,18,1
328,m,10/25/1952,18,3,55000,32490,75,125,0
329,m,8/24/1958,18,3,62500,34980,75,74,0
330,m,05-09-1959,15,1,27300,17250,75,132,0
331,f,02-04-1942,12,1,24450,12000,75,144,0
332,f,05-10-1964,16,1,33000,18000,75,26,0
333,f,1/26/1965,15,1,37050,18000,75,5,0
334,f,05-09-1966,12,1,24450,10950,75,32,1
335,m,2/26/1930,8,2,31950,15750,74,408,0
336,m,01-10-1964,16,3,47250,21240,74,45,0
337,f,1/27/1970,12,1,26100,11550,74,2,0
338,f,08-12-1938,8,1,15900,10200,74,43,0
339,f,11-07-1942,8,1,23700,10650,74,281,0
340,f,05-06-1934,8,1,21750,12450,74,318,0
341,m,1/20/1945,12,3,59400,33750,74,272,1
342,f,06-01-1948,12,1,24450,14250,74,117,1
343,m,06-09-1953,16,3,103500,60000,73,150,0
344,m,10/13/1963,12,1,35700,16500,73,72,0
345,f,05-05-1969,12,1,22200,16500,73,7,0
346,f,8/16/1968,15,1,22950,13950,73,22,0
347,f,08-10-1944,12,1,23100,12000,73,228,0
348,f,06-11-1962,16,3,56750,30000,73,15,0
349,f,3/22/1938,17,1,29100,12750,73,375,0
350,f,4/21/1939,12,1,37650,15750,73,132,0
351,f,1/27/1966,12,1,27900,13500,73,32,0
352,f,11/26/1933,8,1,21150,12000,73,159,0
353,m,03-10-1955,12,2,31200,15750,73,155,1
354,f,05-08-1946,12,1,20550,11250,73,154,1
355,m,5/19/1961,15,1,25950,17250,72,83,0
356,m,11-10-1965,15,1,28350,15000,72,48,0
357,f,1/18/1932,8,1,17700,10200,72,184,0
358,f,04-11-1944,15,1,23550,13500,72,49,0
359,f,06-12-1941,12,1,19950,10200,72,56,0
360,f,08-11-1968,12,1,29400,15300,72,30,0
361,f,06-09-1966,12,1,28800,13950,72,18,0
362,f,04-08-1937,8,1,16950,10200,72,319,0
363,m,06-03-1954,16,1,35700,18000,72,138,1
364,f,3/26/1947,12,1,17400,10200,72,116,1
365,f,10/16/1948,8,1,21450,10200,72,194,1
366,f,3/21/1961,12,1,24750,12000,72,68,1
367,f,5/22/1942,12,1,16950,10200,72,271,1
368,f,7/20/1943,12,1,26100,13500,72,169,1
369,m,11/14/1967,14,1,28050,15000,71,15,0
370,f,1/20/1963,16,1,36600,18000,71,12,0
371,f,04-05-1966,16,3,58125,18000,71,11,0
372,m,8/22/1935,15,1,21300,15750,70,372,0
373,m,10/29/1949,12,1,22500,16500,70,216,0
374,m,7/26/1967,15,1,29400,15750,70,15,0
375,m,10-08-1966,12,1,27450,14700,70,41,0
376,m,10-09-1964,15,1,29850,15750,70,48,0
377,m,11/29/1965,15,1,25350,15750,70,56,0
378,f,9/21/1930,8,1,15750,10200,70,275,0
379,f,05-12-1938,8,1,19650,13050,70,102,0
380,f,2/22/1941,12,1,21000,13500,70,82,0
381,m,7/15/1946,17,1,27000,18000,70,192,1
382,m,10/20/1959,12,1,24000,15750,70,120,1
383,m,06-03-1961,17,3,78500,28740,70,67,1
384,f,11-11-1955,12,1,20850,13050,70,127,1
385,m,10-01-1930,12,2,30000,15750,69,348,0
386,m,8/18/1934,8,2,28500,15750,69,174,0
387,m,02-03-1965,19,3,65000,31980,69,74,0
388,m,01-02-1959,14,1,30150,16500,69,110,0
389,m,4/15/1959,19,3,66875,32490,69,81,0
390,f,11-09-1968,15,1,24150,13500,69,7,0
391,f,01-12-1969,12,1,24450,12450,69,12,0
392,f,05-12-1970,12,1,21600,12000,69,0,0
393,f,6/24/1969,12,1,27900,12450,69,0,0
394,f,02-04-1970,8,1,29100,12450,69,17,0
395,f,03-09-1970,12,1,22650,11250,69,2,0
396,f,8/17/1970,12,1,20850,11250,69,0,0
397,f,1/17/1970,12,1,22950,12300,69,5,0
398,f,11/21/1970,12,1,30600,12450,69,5,0
399,f,02-06-1970,12,1,20400,11250,69,0,0
400,f,08-06-1969,12,1,23850,12750,69,20,0
401,f,3/14/1970,12,1,22800,11250,69,0,0
402,f,02-07-1970,12,1,20700,11250,69,2,0
403,f,4/28/1970,12,1,21300,11250,69,3,1
404,f,05-01-1953,12,1,24300,15000,69,121,1
405,f,07-12-1944,12,1,19650,13950,69,133,1
406,m,10-05-1965,17,3,60000,32490,68,17,0
407,m,09-06-1965,15,1,30300,15750,68,55,0
408,m,02-12-1964,19,3,61250,33000,68,9,0
409,m,11/21/1962,19,1,36000,19500,68,21,0
410,f,01-09-1942,8,1,25200,18750,68,344,0
411,f,8/21/1931,12,1,16200,10200,68,180,0
412,f,6/16/1970,12,1,22800,11250,68,2,0
413,f,3/13/1966,16,3,43500,19500,68,11,0
414,m,01-08-1961,8,2,30300,15750,68,155,1
415,m,05-02-1963,15,1,31950,15750,68,70,1
416,m,1/16/1965,15,1,35250,13500,67,6,0
417,m,7/22/1967,15,1,37800,15000,67,36,0
418,m,06-05-1965,15,1,31200,15750,67,46,0
419,m,10/20/1964,15,1,29400,16500,67,68,0
420,m,7/16/1957,19,3,70000,35040,67,75,0
421,m,11-01-1961,15,1,33900,15750,67,96,0
422,m,7/20/1963,15,1,27150,16500,67,78,0
423,f,4/26/1936,12,1,22200,13800,67,196,0
424,f,07-06-1966,15,1,31350,11100,67,47,0
425,f,1/26/1942,12,1,20850,13500,67,181,0
426,m,10/27/1952,16,1,33300,17490,67,120,1
427,m,4/21/1942,8,1,26250,16050,67,97,1
428,m,2/28/1964,15,1,31950,15750,67,58,1
429,m,8/13/1946,8,2,30000,15750,67,305,1
430,m,4/29/1956,19,3,66250,34980,67,99,1
431,m,1/15/1959,18,3,86250,45000,66,50,0
432,m,03-12-1964,12,1,30750,15000,66,56,0
433,m,11/15/1966,12,1,33540,15750,66,47,0
434,m, ,16,1,34950,20250,66,55,0
435,m,5/24/1964,15,1,40350,16500,66,80,0
436,m,5/27/1965,12,1,30270,15750,66,80,0
437,m,09-04-1933,8,1,26250,16050,66,264,0
438,m,10-11-1964,15,1,32400,15000,66,64,0
439,f,6/25/1970,12,1,20400,11250,66,0,0
440,f,11-10-1947,8,1,24150,12750,66,96,0
441,f,08-02-1949,15,1,23850,13500,66,122,0
442,f,9/18/1968,12,1,29700,13500,66,26,0
443,f,02-10-1929,8,1,21600,13500,66,228,0
444,f,9/16/1961,12,1,24450,15750,66,87,0
445,m,08-04-1963,15,1,28050,16500,66,84,1
446,m,08-03-1958,16,3,100000,44100,66,128,1
447,m,07-02-1961,15,1,49000,20550,66,86,1
448,f,06-05-1933,12,1,16350,10200,66,163,1
449,m,01-02-1966,16,3,70000,21750,65,19,0
450,m,7/21/1954,19,3,55000,34980,65,129,0
451,m,7/19/1969,15,1,28500,14250,65,20,0
452,m,8/13/1953,12,1,28800,18000,65,210,0
453,m,08-07-1930,15,1,24450,15750,65,338,0
454,m,7/28/1965,19,3,90625,31250,65,18,0
455,m,1/17/1964,16,3,43650,19500,65,19,0
456,m,10/17/1959,19,3,75000,42510,65,54,0
457,m,5/27/1968,15,1,31650,14250,65,10,0
458,m,07-06-1965,19,3,61875,28740,65,26,0
459,f,02-10-1971,12,1,21750,11250,65,0,0
460,f,08-12-1969,12,1,22500,12750,65,24,0
461,f,11-08-1943,8,1,21600,13500,65,173,0
462,f,10/18/1963,16,3,34410,19500,65,79,0
463,f,10/15/1934,15,1,20700,14250,65,241,0
464,m,3/20/1962,19,3,47550,33000,64,27,0
465,m,7/20/1962,12,1,33900,16500,64,106,0
466,f,6/15/1948,12,1,23400,13500,64,198,0
467,f,8/18/1967,16,1,32850,19500,64,20,0
468,f,11/28/1965,16,3,55750,19980,64,36,0
469,f,06-01-1964,15,1,25200,13950,64,57,0
470,m,1/22/1964,12,1,26250,15750,64,69,1
471,m,08-03-1966,15,1,26400,15750,64,32,1
472,m,2/21/1966,15,1,39150,15750,63,46,0
473,f,11/25/1937,12,1,21450,12750,63,139,0
474,f,11-05-1968,12,1,29400,14250,63,9,0
